Homecrest,7027
Corona,5680
Bensonhurst West,9465
East New York (Pennsylvania Ave),3757
New Brighton-Silver Lake,3110
Westerleigh,4302
Elmhurst-Maspeth,4041
Pelham Parkway,2533
Mount Hope,4077
Rego Park,3684
Dyker Heights,5119
Pelham Bay-Country Club-City Island,3490
Kew Gardens Hills,4709
Cypress Hills-City Line,3313
Stapleton-Rosebank,5194
Rikers Island,310
Jackson Heights,9967
Lindenwood-Howard Beach,3925
Old Town-Dongan Hills-South Beach,5881
Highbridge,3014
Bushwick South,13696
Windsor Terrace,3014
Soundview-Bruckner,2661
Old Astoria,5167
Clinton Hill,10244
Ocean Hill,5334
West Concourse,3498
East Concourse-Concourse Village,4808
Stuyvesant Heights,10012
West Farms-Bronx River,1977
Springfield Gardens South-Brookville,3556
Oakland Gardens,3926
Springfield Gardens North,2707
East Harlem South,9128
Crown Heights North,14747
Longwood,2662
Flushing,13913
Norwood,3110
Starrett City,538
Queensbridge-Ravenswood-Long Island City,6481
East Elmhurst,2976
West New Brighton-New Brighton-St. George,6099
Annadale-Huguenot-Prince's Bay-Eltingville,7106
North Riverdale-Fieldston-Riverdale,4105
Whitestone,7259
"",6664
North Side-South Side,16420
Soundview-Castle Hill-Clason Point-Harding Park,6757
South Jamaica,5330
Allerton-Pelham Gardens,2810
Glen Oaks-Floral Park-New Hyde Park,4293
Mariner's Harbor-Arlington-Port Ivory-Graniteville,4901
Sunset Park West,10099
Bath Beach,2987
Kensington-Ocean Parkway,3161
Richmond Hill,7998
East Harlem North,9700
Canarsie,5526
Washington Heights South,10878
Van Cortlandt Village,3117
Flatlands,5018
Hunts Point,4210
Georgetown-Marine Park-Bergen Beach-Mill Basin,5507
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,18086
Parkchester,2408
Astoria,11660
Madison,4116
Erasmus,3579
Lower East Side,10303
East Village,16094
park-cemetery-etc-Queens,1670
Fort Greene,6952
Turtle Bay-East Midtown,51818
Hammels-Arverne-Edgemere,9544
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,8543
Gramercy,14131
Williamsburg,2989
Douglas Manor-Douglaston-Little Neck,5328
Middle Village,4186
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,6917
Grasmere-Arrochar-Ft. Wadsworth,3268
East Flatbush-Farragut,3258
Hunters Point-Sunnyside-West Maspeth,18944
park-cemetery-etc-Bronx,634
Glendale,3432
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,10066
Hudson Yards-Chelsea-Flatiron-Union Square,63138
park-cemetery-etc-Brooklyn,1548
College Point,5404
Central Harlem North-Polo Grounds,12270
Queens Village,5001
Chinatown,14670
Ridgewood,7417
Bedford,14078
Bronxdale,2464
Midtown-Midtown South,149572
Upper West Side,36013
West Brighton,1146
Mott Haven-Port Morris,7404
Steinway,7261
West Village,45512
Seagate-Coney Island,4805
Baisley Park,4549
Sunset Park East,10431
Bushwick North,8448
Rossville-Woodrow,3808
Laurelton,2914
Pomonok-Flushing Heights-Hillcrest,4651
Port Richmond,3375
Upper East Side-Carnegie Hill,46562
Cambria Heights,1648
Far Rockaway-Bayswater,6139
East Flushing,4832
Central Harlem South,11051
Woodhaven,4810
Rugby-Remsen Village,3101
Woodside,5221
Midwood,6312
Jamaica Estates-Holliswood,4107
Belmont,3300
Crotona Park East,2528
Ocean Parkway South,2723
Clinton,20033
Brooklyn Heights-Cobble Hill,9312
Prospect Lefferts Gardens-Wingate,7363
Bay Ridge,9675
Auburndale,3775
Bensonhurst East,5760
St. Albans,5674
Fordham South,1929
Maspeth,4767
Lincoln Square,21085
Carroll Gardens-Columbia Street-Red Hook,12734
Schuylerville-Throgs Neck-Edgewater Park,5208
park-cemetery-etc-Manhattan,1227
Jamaica,9584
Bellerose,3732
Bayside-Bayside Hills,8887
Grymes Hill-Clifton-Fox Hills,2949
Co-op City,3381
East New York,13485
Battery Park City-Lower Manhattan,43791
Fresh Meadows-Utopia,2421
Great Kills,6768
South Ozone Park,9943
Bedford Park-Fordham North,3932
Borough Park,14231
Manhattanville,4158
Queensboro Hill,3459
East Williamsburg,9582
Van Nest-Morris Park-Westchester Square,4115
Spuyten Duyvil-Kingsbridge,4131
Airport,39
Westchester-Unionport,3147
Marble Hill-Inwood,4101
Lenox Hill-Roosevelt Island,22529
Murray Hill-Kips Bay,28919
Ozone Park,2489
Murray Hill,7502
Briarwood-Jamaica Hills,4406
Rosedale,3255
Williamsbridge-Olinville,5911
Gravesend,3258
Oakwood-Oakwood Beach,3422
Forest Hills,10065
Yorkville,15538
University Heights-Morris Heights,3498
Brownsville,5934
Morrisania-Melrose,4773
Park Slope-Gowanus,20296
New Dorp-Midland Beach,7183
Brighton Beach,4745
Flatbush,8168
Woodlawn-Wakefield,3615
Kew Gardens,2571
Arden Heights,2763
SoHo-TriBeCa-Civic Center-Little Italy,55866
Melrose South-Mott Haven North,5361
East Tremont,4591
New Springville-Bloomfield-Travis,7122
Charleston-Richmond Valley-Tottenville,7889
Hamilton Heights,6324
Prospect Heights,5715
Eastchester-Edenwald-Baychester,3073
Stuyvesant Town-Cooper Village,3921
North Corona,6794
Claremont-Bathgate,3148
Kingsbridge Heights,1973
Hollis,2193
Morningside Heights,12087
Greenpoint,10752
Washington Heights North,6107
Elmhurst,9182
Crown Heights South,3075
Ft. Totten-Bay Terrace-Clearview,2564
